status2016,cprnr,optag_aar,ADGGRU,kvotient,geobag,Aldop,NAVN,postnr,geoinst,institution,campus,kon,type_optag,ramme_retning_optag,ramme_2016,studienaevn2016,orlov2016,MAT,Niveau_MAT,oprindelse_MAT,DAN,Niveau_DAN,oprindelse_DAN,ENG,NIveau_ENG,oprindelse_ENG,staa,efter_adgeksamen,ECTS,Frafalden,,,,,
Indskrevet,,2015,Udenlandsk adg.grundlag,7.9,Midtjyll.,19,,8000,Ikke Danmark,Institution ikke oplyst,Aalborg,Mænd,bachelor,Medialogi,Bacheloruddannelse - BSc Medialogi,Medieteknologi,0,7,B,indtastet,,,,12,B,indtastet,0.75,0 år,45,FALSE,,,,,
Indskrevet,,2015,HF,8.5,Øst for Storebæl,23,,4700,Øst for Storebælt,Københavns åbne Gymnasium,Kbh.,Mænd,bachelor,Medialogi,Bacheloruddannelse - BSc Medialogi,Medieteknologi,0,9.5,B,portal,4,A,portal,8.5,B,portal,0.92,1 år,55,FALSE,,,,,
Indskrevet,,2015,Ny student (påb. 2005 -),9.6,Nordjyll.,21,,9000,Sønderjylland,Alssundgymnasiet Sønderborg,Aalborg,Mænd,bachelor,Medialogi,Bacheloruddannelse - BSc Medialogi,Medieteknologi,0,8,A,portal,8.666666667,A,portal,7,B,portal,1,0 år,60,FALSE,,,,,
Indskrevet,,2015,HTX,6.4,Øst for Storebæl,20,,2000,Øst for Storebælt,Københavns Tekniske Skole,Kbh.,Mænd,bachelor,Medialogi,Bacheloruddannelse - BSc Medialogi,Medieteknologi,0,5.5,B,portal,5,A,portal,10.5,A,portal,0.67,1 år,40,FALSE,,,,,
Indskrevet,,2015,Ny student (påb. 2005 -),8,Øst for Storebæl,21,,2840,Øst for Storebælt,Gammel Hellerup Gymnasium,Kbh.,Mænd,bachelor,Medialogi,Bacheloruddannelse - BSc Medialogi,Medieteknologi,0,12,A,portal,6,A,portal,9,A,portal,1,2 år,60,FALSE,,,,,
Indskrevet,,2015,HF,10.5,Øst for Storebæl,25,,2630,Øst for Storebælt,VUC Roskilde,Kbh.,Mænd,bachelor,Medialogi,Bacheloruddannelse - BSc Medialogi,Medieteknologi,0,10,B,indtastet,7,A,portal,10,A,portal,0.92,2 år,55,FALSE,,,,,
Afbrudt,,2015,HTX,6.9,Nordjyll.,20,,9220,Østjylland,Viden Djurs,Aalborg,Mænd,bachelor,Medialogi,,,,5,B,indtastet,3.25,A,indtastet,4.333333333,B,indtastet,0.25,0 år,15,TRUE,,,,,
Indskrevet,,2015,Ny student (påb. 2005 -),10.5,Øst for Storebæl,22,,2300,Øst for Storebælt,Roskilde Katedralskole,Kbh.,Kvinder,bachelor,Medialogi,Bacheloruddannelse - BSc Medialogi,Medieteknologi,0,7.75,B,portal,9,A,portal,9,A,portal,1,2 år,60,FALSE,,,,,
Indskrevet,,2015,Ny student (påb. 2005 -),7.6,Nordjyll.,22,,9000,Østjylland,Skanderborg Gymnasium,Aalborg,Kvinder,bachelor,Medialogi,Bacheloruddannelse - BSc Medialogi,Medieteknologi,0,10.66666667,A,portal,6.75,A,portal,10.66666667,B,portal,1,3 år,60,FALSE,,,,,
Indskrevet,,2015,HTX,5.6,Nordjyll.,20,,9000,Nordjylland,EUC Nord,Aalborg,Mænd,bachelor,Medialogi,Bacheloruddannelse - BSc Medialogi,Medieteknologi,0,3.75,A,portal,4,A,portal,6,A,portal,1,1 år,60,FALSE,,,,,
